part_id,sequence_id,category,notes
SPS-16088,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS-16089,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS-16096,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS-16097,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS-17122,300,terminals_not_observable_on_single_sense_stand,"port_a: PTP NO/NC terminals are not observable on this stand (COM=5, NO=4, NC=6, sensed=[3]); port_b: PTP NO/NC terminals are not observable on this stand (COM=5, NO=4, NC=6, sensed=[3])"
SPS-17122,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS-17122,600,terminals_not_observable_on_single_sense_stand,"port_a: PTP NO/NC terminals are not observable on this stand (COM=5, NO=6, NC=4, sensed=[3]); port_b: PTP NO/NC terminals are not observable on this stand (COM=5, NO=6, NC=4, sensed=[3])"
SPS-17123,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01414-03,625,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; UnitsOfMeasure 'PSI' is not mapped; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01429-02,450,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01429-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01438-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01439-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01456-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01494-03,625,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; UnitsOfMeasure 'PSI' is not mapped; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01495-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01496-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01510-03,600,invalid_activation_direction,TargetActivationDirection must be Increasing or Decreasing
SPS01516-02,300,missing_activation_or_direction,Missing ActivationTarget; Missing TargetActivationDirection
SPS01516-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01516-02,600,missing_activation_or_direction,Missing ActivationTarget; Missing TargetActivationDirection
SPS01523-03,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01526-03,300,invalid_no_nc_same_terminal,port_a: NormallyOpenTerminal and NormallyClosedTerminal must be different; port_b: NormallyOpenTerminal and NormallyClosedTerminal must be different
SPS01526-03,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01533-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01533-03,300,invalid_no_nc_same_terminal,port_a: NormallyOpenTerminal and NormallyClosedTerminal must be different; port_b: NormallyOpenTerminal and NormallyClosedTerminal must be different
SPS01533-03,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01539-03,300,invalid_no_nc_same_terminal,port_a: NormallyOpenTerminal and NormallyClosedTerminal must be different; port_b: NormallyOpenTerminal and NormallyClosedTerminal must be different
SPS01544-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01553-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01564-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01568-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01579-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01582-03,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01583-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01586-03,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01617-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01619-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01621-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01627-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01632-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01640-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01643-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01645-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01651-03,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01658-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01658-03,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01660-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01662-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01664-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01666-03,300,invalid_no_nc_same_terminal,port_a: NormallyOpenTerminal and NormallyClosedTerminal must be different; port_b: NormallyOpenTerminal and NormallyClosedTerminal must be different
SPS01669-03,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01691-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01711-03,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01722-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01727-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01729-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01741-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01743-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
SPS01760-02,475,incomplete_ptp_core_fields,Missing ActivationTarget; Missing IncreasingLowerLimit; Missing IncreasingUpperLimit; Missing DecreasingLowerLimit; Missing DecreasingUpperLimit; Missing ResetBandLowerLimit; Missing ResetBandUpperLimit; Missing TargetActivationDirection; Missing UnitsOfMeasure; Missing CommonTerminal; Missing NormallyOpenTerminal; Missing NormallyClosedTerminal; CommonTerminal must be a number; NormallyOpenTerminal must be a number; NormallyClosedTerminal must be a number
